"condition (1-haptic fist, 2-visual first, 3-visual sec",participant,mean fixation duration,number of fixations,average X position,average Y position,coverage,number saccades,mean saccadic speed (deg/sec),mean saccadic duration (msec),mean saccadic amplitude (deg)
3,17,635.032175925926,1.00347222222222,983.175462962963,479.592708333333,NaN,1.00347222222222,71.8874014509566,0.0504759259259259,2.67819882539391
1,18,641.066435185185,1,994.044768518518,581.360532407407,NaN,1.00347222222222,68.9012110455859,0.0419,2.21896883769171
2,18,657.841203703704,1,969.526388888889,552.017013888889,NaN,1,58.8859554539124,0.0512212962962963,1.9337007766829
3,18,706.322453703704,1,966.040439814815,518.025208333333,NaN,1,59.3343868188812,0.0553668981481482,2.05769869743518
1,19,645.463425925926,1,1047.28791666667,521.494328703704,NaN,1,75.3833848123289,0.0730259259259259,3.04499395532122
2,19,710.22662037037,1,989.807916666667,599.912152777778,NaN,1.00277777777778,79.3232766378057,0.0659398148148148,3.03937805085453
3,19,775.684490740741,1.00925925925926,957.111898148148,512.452615740741,NaN,1,68.3542328370416,0.0831611111111111,2.71458215094538
1,20,505.835648148148,1,969.85212962963,574.51287037037,NaN,1,64.8370146628984,0.0869208333333333,3.084344561512
2,20,538.257175925926,1.00277777777778,940.619467592593,579.849861111111,NaN,1.00277777777778,53.1517638983861,0.100140277777778,2.88510756719333
3,20,539.374537037037,1,945.539351851852,540.552407407407,NaN,1,53.3061581490181,0.0948722222222222,2.63908384156583
1,21,577.225462962963,1,930.968888888889,514.234884259259,NaN,1.00231481481481,94.2926569493035,0.0402545304232804,3.31867602163124
2,21,590.729166666667,1,961.682430555555,559.439884259259,NaN,1.00509259259259,86.7126055831889,0.0509300264550265,3.14611956470308
3,21,631.060648148148,1.00555555555556,975.185555555556,463.655717592593,NaN,1,84.8118194818919,0.0494708333333333,3.13839559211873
1,22,468.371527777778,1,963.537013888889,481.870347222222,NaN,1.00277777777778,78.0473267642211,0.0363581018518519,2.84733888058474
2,22,454.497982804233,1.00231481481481,953.758597883598,470.517572751323,NaN,1,70.1010257382388,0.0345215277777778,2.20904491402023
3,22,454.775,1,961.032129629629,479.210925925926,NaN,1,70.9996477212946,0.0341668981481482,2.34803031216846
